;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65
10;1,65e-09;1,97e-08;2,05e-09;2,43e-10;3,21e-10;1,5e-10;9,01e-11;1,23e-10;1,62e-10;1,2e-10;2,55e-11;2,71e-10;8,27e-11;1,36e-10;2,15e-10;3,24e-09;1,91e-08;7,55e-08;3,93e-09;4,87e-10;3,16e-10;1,31e-10;1,51e-10;1,76e-10;1,81e-10;1,54e-10;-1,17e-11;2,09e-09;3,73e-10;1,81e-10;1,62e-10;4,39e-09;6,67e-10;1,96e-10;-6,68e-11;1,12e-10;8,91e-11;8,06e-11;1,54e-10;1,97e-10;2,62e-10;1,18e-10;1,98e-10;3,16e-09;6,02e-10;1,53e-10;5,3e-12;-5,62e-11;1,83e-10;1,82e-10;2,48e-10;-3,29e-11;-9,12e-11;7,42e-12;1,58e-10;1,35e-10;1,21e-10;1,91e-11;7,74e-11;1,86e-10;2,23e-11;1,55e-10;1,55e-10;1,95e-10;2,01e-10
11;1,64e-09;1,98e-08;1,99e-09;1,75e-10;1,38e-11;9,23e-11;-1,17e-11;-5,73e-11;2,59e-10;6,47e-11;2,09e-10;2,51e-10;4,45e-11;7e-11;1,08e-10;3,02e-09;1,87e-08;7,55e-08;3,99e-09;3,93e-10;8,59e-11;7e-11;1,37e-10;3,82e-11;1,41e-10;1,64e-10;1,83e-10;1,69e-09;3,09e-10;8,59e-11;2,46e-10;4,02e-09;6,77e-10;5,51e-11;1,34e-10;5,41e-11;-5,3e-11;4,24e-11;8,48e-11;2,27e-10;1,61e-10;3,92e-11;-6,68e-11;2,99e-09;6,49e-10;1,91e-10;-4,88e-11;1,27e-10;2,23e-11;4,14e-11;8,38e-11;-1,8e-11;2,01e-11;4,77e-11;6,36e-12;1,05e-10;6,04e-11;-9,86e-11;-8,38e-11;-2,38e-10;8,27e-11;-8,06e-11;-1,7e-11;-6,26e-11;-4,88e-11
12;1,93e-09;1,8e-08;1,7e-09;1,98e-10;2,17e-10;2,13e-10;2,75e-10;9,86e-11;2,5e-10;2,46e-10;2,96e-10;4,42e-08;2,86e-09;2,15e-07;5,99e-09;6,66e-08;1,05e-08;3,92e-08;3,42e-09;8,36e-09;9,9e-10;4,37e-09;8,41e-10;3,65e-10;3,38e-10;2,17e-10;7,2e-09;2,86e-06;2,05e-08;2,89e-09;9,1e-10;1,77e-08;2,03e-09;5,08e-10;2,9e-10;6,41e-10;5,48e-10;3,64e-10;7,07e-10;1,37e-07;5,07e-09;8,38e-10;4,43e-09;7,24e-07;8,88e-09;3,28e-09;9,76e-10;4,13e-10;3,03e-10;2,84e-10;3,71e-10;1,92e-10;2,88e-10;2,32e-10;3,08e-10;1,92e-10;1,59e-10;2,01e-10;3,23e-10;2,58e-10;2,32e-10;2,68e-10;1,77e-10;3,02e-10;1,37e-10
13;1,85e-09;1,6e-08;1,55e-09;1,15e-10;-6,79e-11;3,18e-12;1,06e-11;5,3e-12;-1,95e-10;-2,63e-10;-1,3e-10;4,49e-08;2,89e-09;2,12e-07;5,68e-09;6,67e-08;9,5e-09;3,43e-08;2,64e-09;7,84e-09;9,31e-10;4,09e-09;5,24e-10;1,19e-10;-9,01e-11;-6,04e-11;6,81e-09;2,84e-06;2,02e-08;2,36e-09;5,67e-10;1,6e-08;1,24e-09;1,45e-10;-7,85e-11;3,56e-10;-1,54e-10;2,09e-10;3,5e-10;1,38e-07;4,68e-09;1,82e-10;3,64e-09;7,26e-07;8,27e-09;2,68e-09;6,02e-10;2,01e-11;-5,73e-11;-7,85e-11;-1,51e-10;-2,12e-10;-1,42e-10;-6,57e-11;1,59e-11;8,8e-11;-1,17e-11;1,06e-10;-2,15e-10;1,03e-10;-5,62e-11;-1,58e-10;-8,06e-11;-1,62e-10;-1,09e-10
14;1,71e-09;1,52e-08;1,4e-09;1,27e-11;-2,6e-10;-1,13e-10;-2,33e-10;-2,44e-10;-3,06e-10;-1,21e-10;-1,94e-10;4,4e-08;2,64e-09;2,14e-07;5,58e-09;6,6e-08;8,64e-09;3,29e-08;2,55e-09;7,58e-09;7,48e-10;3,57e-09;2,62e-10;-2,7e-10;-7,32e-11;-3,18e-12;6,76e-09;2,84e-06;1,99e-08;2,92e-09;5,68e-10;1,62e-08;1,52e-09;-7,64e-11;-2,44e-11;3,06e-10;-9,23e-11;-4,77e-11;4,13e-10;1,38e-07;4,8e-09;1,06e-10;3,71e-09;7,25e-07;8,8e-09;3,07e-09;5,73e-10;9,76e-11;-1,62e-10;-7,42e-11;-2e-10;-2,52e-10;-3,72e-10;-3,69e-10;-2,38e-10;-3,59e-10;-3,78e-10;-2,27e-10;-4,41e-10;-2,39e-10;-3,32e-10;-3,52e-10;-1,68e-10;-1,66e-10;-4,35e-11
15;1,71e-09;1,49e-08;1,24e-09;-7,95e-11;-2,42e-10;-2,47e-10;-3,96e-10;-1,79e-10;-1,52e-10;-2,29e-10;-2,25e-10;4,39e-08;2,55e-09;2,15e-07;5,76e-09;6,53e-08;8,52e-09;3,07e-08;2,05e-09;7,73e-09;5,69e-10;3,7e-09;4,02e-10;-7,1e-11;-1,46e-10;-2,62e-10;6,91e-09;2,84e-06;2,01e-08;2,51e-09;4,71e-10;1,55e-08;1,59e-09;5,41e-11;-2,75e-10;1,65e-10;-2,1e-10;-1,04e-10;2,53e-10;1,37e-07;4,82e-09;2,64e-10;3,72e-09;7,21e-07;8,66e-09;2,81e-09;3,74e-10;-5,09e-11;-6,89e-11;-1,54e-10;-2,74e-10;-2,45e-10;-3,96e-10;-2,3e-10;-3e-10;-2,13e-10;-2,67e-10;-1,52e-10;-2,44e-11;-2,15e-10;-1,95e-10;-2,56e-10;-8,91e-11;-1,69e-10;-2,33e-10
16;1,7e-09;1,47e-08;1,14e-09;5,94e-11;-1,3e-10;-9,97e-11;-1,95e-10;-2,55e-10;-9,44e-11;-1,95e-10;-2,27e-10;4,4e-08;2,69e-09;2,14e-07;5,92e-09;6,56e-08;8,5e-09;3,03e-08;2,64e-09;7,78e-09;7,04e-10;3,48e-09;5,96e-10;-1,99e-10;-1,83e-10;-5,41e-11;7,18e-09;2,83e-06;2e-08;2,6e-09;6,42e-10;1,56e-08;1,56e-09;5,51e-11;-7,64e-11;3,22e-10;-1,42e-10;-5,41e-11;4,19e-10;1,36e-07;5e-09;2,57e-10;3,87e-09;7,21e-07;8,51e-09;2,79e-09;6e-10;1,42e-10;1,63e-10;-8,91e-11;3,82e-11;-2,12e-12;6,36e-12;-7,74e-11;-2,26e-10;-1,18e-10;-1,12e-10;-1,95e-10;-7,95e-11;-1,63e-10;-1,08e-10;0,0;9,54e-12;-3,5e-11;-1,72e-10
17;1,83e-09;1,45e-08;1,48e-09;5,51e-11;1,71e-10;-5,2e-11;1,27e-11;-1,21e-10;-1,21e-10;8,17e-11;-7,42e-11;4,47e-08;3e-09;2,11e-07;5,46e-09;6,59e-08;8,18e-09;3,02e-08;2,28e-09;7,97e-09;9,26e-10;4e-09;3,87e-10;-7,53e-11;5,3e-11;-2,76e-11;7,6e-09;2,78e-06;1,98e-08;2,61e-09;4,61e-10;1,6e-08;1,43e-09;-4,35e-11;-1,56e-10;-2,33e-11;-7,21e-11;-1,75e-10;5,14e-10;1,37e-07;4,58e-09;5,78e-10;3,93e-09;7,25e-07;8,3e-09;2,72e-09;6,92e-10;2,77e-10;1,11e-10;1,59e-11;2,97e-11;-1,57e-10;-2e-10;-2,73e-10;-2,32e-10;-1,86e-10;-4,35e-11;-7,95e-11;-2,17e-10;-1,86e-10;-3,08e-11;-2,65e-11;-1,5e-10;-1,74e-10;-2,21e-10
18;1,68e-09;1,41e-08;1,25e-09;-2,47e-10;-3,02e-10;-3,26e-10;-4,74e-10;-2,35e-10;-1,62e-10;-2,22e-10;-1,36e-10;4,34e-08;2,77e-09;2,12e-07;5,44e-09;6,45e-08;7,79e-09;2,89e-08;2,37e-09;7,74e-09;6,45e-10;3,9e-09;5,66e-10;-2,21e-10;-3,29e-10;-2,66e-10;7,01e-09;2,81e-06;1,99e-08;2,71e-09;4,79e-10;1,55e-08;1,32e-09;-2,05e-10;-2,28e-10;1,65e-10;-3,27e-10;-7,1e-11;2,92e-10;1,37e-07;4,86e-09;1,58e-10;3,72e-09;7,24e-07;8,48e-09;2,32e-09;3,44e-10;-5,62e-11;-2,14e-10;-8,17e-11;-2,68e-10;-3,49e-10;-1,3e-10;-4,59e-10;-2,11e-10;-3,5e-10;-1,62e-10;-3,47e-10;-2,98e-10;-4,48e-10;-4,36e-10;-2,14e-10;-3,22e-10;-2,78e-10;-2,81e-10
19;1,43e-09;1,4e-08;1,44e-09;-1,43e-10;-1,13e-10;-1,51e-10;-3,5e-11;-6,04e-11;-1,88e-10;-2,58e-10;-1,42e-10;4,41e-08;2,93e-09;2,11e-07;5,65e-09;6,56e-08;8,02e-09;2,9e-08;2,34e-09;7,78e-09;7,29e-10;3,95e-09;4,09e-10;-1,8e-11;-1,21e-10;5,3e-12;6,96e-09;2,81e-06;1,96e-08;2,69e-09;5,9e-10;1,55e-08;1,55e-09;1,38e-11;-7e-11;2,16e-10;-3,5e-11;-1,94e-10;1,59e-10;1,38e-07;5,04e-09;4,25e-10;3,56e-09;7,2e-07;8,36e-09;2,8e-09;4,36e-10;-9,44e-11;-3,82e-11;-9,76e-11;-3,29e-11;-1,72e-10;-2,67e-10;-1,53e-10;-3,09e-10;-2,38e-10;-4,14e-11;-2,92e-10;-9,54e-11;-3,3e-10;4,56e-11;-2,7e-10;-6,79e-11;-1,06e-11;-8,38e-11
20;1,45e-09;1,35e-08;1,13e-09;-6,47e-11;-1,34e-10;-1,03e-10;-1,28e-10;-2,34e-10;-2,98e-10;-3,16e-10;-3,72e-10;4,32e-08;2,7e-09;2,14e-07;5,52e-09;6,49e-08;7,73e-09;2,82e-08;2,26e-09;7,62e-09;7,32e-10;3,66e-09;4,58e-10;-3,66e-10;-1,73e-10;-1,66e-10;6,79e-09;2,8e-06;1,96e-08;2,49e-09;4,54e-10;1,59e-08;1,28e-09;-9,86e-11;-1,44e-10;7,74e-11;-2,64e-10;-1,17e-10;3,32e-10;1,38e-07;4,7e-09;7,53e-11;3,89e-09;7,24e-07;8,32e-09;2,81e-09;3,79e-10;1,81e-10;-3,29e-11;-2,16e-10;-3,54e-10;-2,7e-10;-2,86e-10;-2,14e-10;-1,97e-10;-8,59e-11;-2,28e-10;-4,06e-10;-2,87e-10;-2,18e-10;-2,07e-10;-1,96e-10;-3,09e-10;-2,99e-10;-2,51e-10
21;1,44e-09;1,36e-08;1,13e-09;-2,77e-10;-2,91e-10;-2,85e-10;-3,81e-10;-4,57e-10;-3,4e-10;-4,32e-10;-3,18e-10;4,44e-08;2,66e-09;2,09e-07;5,29e-09;6,5e-08;7,65e-09;2,75e-08;1,9e-09;7,75e-09;6,51e-10;3,58e-09;9,33e-11;-2,73e-10;-2,47e-10;-2,88e-10;7,2e-09;2,79e-06;1,94e-08;2,36e-09;3,46e-10;1,55e-08;1,45e-09;-1,73e-10;-2,68e-10;-7,85e-11;-2,28e-10;-1,45e-10;2,01e-10;1,39e-07;4,72e-09;2,06e-10;3,73e-09;7,29e-07;8,43e-09;2,8e-09;5,5e-10;-1,69e-10;-1,97e-10;-3,09e-10;-2,06e-10;-4,09e-10;-3,9e-10;-4,08e-10;-3,88e-10;-5,09e-10;-4,05e-10;-4,15e-10;-3,85e-10;-3,89e-10;-3,8e-10;-4,18e-10;-4,57e-10;-3,5e-10;-3e-10
22;1,45e-09;1,34e-08;1,36e-09;-1,52e-10;-1,38e-10;-1,58e-10;-1,38e-10;-3,09e-10;-1,54e-10;-5,3e-11;-1,57e-10;4,42e-08;2,68e-09;2,12e-07;5,59e-09;6,49e-08;7,66e-09;2,82e-08;2,37e-09;7,76e-09;7,4e-10;4e-09;4,5e-10;-2,23e-11;-2,14e-10;-1,17e-11;7,06e-09;2,82e-06;1,95e-08;2,44e-09;6,07e-10;1,59e-08;1,59e-09;-4,77e-11;-3,29e-11;2,31e-10;1,01e-10;1,17e-11;3,92e-10;1,38e-07;4,96e-09;3,67e-10;3,66e-09;7,22e-07;8,46e-09;2,77e-09;3,01e-10;-2,56e-10;-1,17e-11;-3,4e-10;-3,2e-10;-2,15e-10;-2,14e-10;-3,56e-10;-2,66e-10;-3,27e-10;-1,2e-10;-3,55e-10;-1,47e-10;-2,34e-10;-2,75e-10;-1,23e-10;-3,23e-10;-1,64e-10;-2,82e-10
